"Pathway" "ApprovedSymbol"
"TNF" "RPS6KA5"
"TNF" "SLC9A1"
"TNF" "USF1"
"TNF" "CEBPB"
"TNF" "HBP1"
"TNF" "CREB1"
"TNF" "DDIT3"
"TNF" "DEFB4A"
"TNF" "EIF4EBP1"
"TNF" "GDI1"
"TNF" "HSPB1"
"TNF" "JUN"
"TNF" "KRT19"
"TNF" "KRT8"
"TNF" "MAPKAPK3"
"TNF" "MAPKAPK5"
"TNF" "MEF2A"
"TNF" "MEF2C"
"TNF" "MITF"
"TNF" "MKNK1"
"TNF" "ATF1"
"TNF" "ATF2"
"TNF" "NOS2"
"TNF" "ATF6"
"TNF" "PLA2G4A"
"TNF" "PPARGC1A"
"atmpathway" "CHEK1"
"atmpathway" "CHEK2"
"atmpathway" "ABL1"
"atmpathway" "MDM2"
"atmpathway" "ATM"
"atmpathway" "NFKBIA"
"atmpathway" "ATR"
"atmpathway" "MAPK8"
"atmpathway" "RAD51"
"atmpathway" "RBBP8"
"atmpathway" "RELA"
"atmpathway" "RPA1"
"atmpathway" "BRCA1"
"atmpathway" "TP53"
"atmpathway" "TP73"
"atmpathway" "JUN"
"atmpathway" "GADD45A"
"atmpathway" "TREX1"
"atr_pathway" "CDK2"
"atr_pathway" "CHEK1"
"atr_pathway" "FANCD2"
"atr_pathway" "CEP164"
"atr_pathway" "HUS1"
"atr_pathway" "MCM2"
"atr_pathway" "MCM7"
"atr_pathway" "MDM2"
"atr_pathway" "NBN"
"atr_pathway" "PLK1"
"atr_pathway" "ATR"
"atr_pathway" "PPP2CA"
"atr_pathway" "PPP2R1A"
"atr_pathway" "RAD1"
"atr_pathway" "RAD9A"
"atr_pathway" "RAD17"
"atr_pathway" "RAD51"
"atr_pathway" "RFC2"
"atr_pathway" "RFC3"
"atr_pathway" "RFC4"
"atr_pathway" "RFC5"
"atr_pathway" "RPA1"
"atr_pathway" "RPA2"
"atr_pathway" "CLSPN"
"atr_pathway" "BRCA2"
"atr_pathway" "YWHAB"
"atr_pathway" "ATRIP"
"atr_pathway" "CCNA2"
"atr_pathway" "CDC6"
"atr_pathway" "CDC25A"
"atr_pathway" "CDC25C"
"atr_pathway" "TOPBP1"
"atr_pathway" "YWHAZ"
"atr_pathway" "SSPO"
"atr_pathway" "FBXW11"
"atr_pathway" "SMARCAL1"
"atr_pathway" "TIMELESS"
"atr_pathway" "TIPIN"
"atr_pathway" "PPP2R2B"
"base_excision" "FANCA"
"base_excision" "FANCC"
"base_excision" "FANCD2"
"base_excision" "FANCE"
"base_excision" "FANCB"
"base_excision" "FANCF"
"base_excision" "FANCG"
"base_excision" "ZBTB32"
"base_excision" "UBE2T"
"base_excision" "ATM"
"base_excision" "ATR"
"base_excision" "FANCL"
"base_excision" "FANCI"
"base_excision" "FANCM"
"base_excision" "RPS27A"
"base_excision" "BRCA1"
"base_excision" "BRCA2"
"base_excision" "UBA52"
"base_excision" "UBB"
"base_excision" "UBC"
"base_excision" "USP1"
"base_excision" "PALB2"
"base_excision" "C17orf70"
"base_excision" "C19orf40"
"double_strand" "RAD50"
"double_strand" "H2AFX"
"double_strand" "LIG1"
"double_strand" "MRE11A"
"double_strand" "NBN"
"double_strand" "ATM"
"double_strand" "RAD51"
"double_strand" "RAD52"
"double_strand" "RPA1"
"double_strand" "RPA2"
"double_strand" "RPA3"
"double_strand" "BRCA1"
"double_strand" "BRCA2"
"double_strand" "TP53BP1"
"double_strand" "BRIP1"
"double_strand" "MDC1"
"fanconi_anemia" "RAD50"
"fanconi_anemia" "POLD3"
"fanconi_anemia" "DMC1"
"fanconi_anemia" "EME1"
"fanconi_anemia" "EME2"
"fanconi_anemia" "ERCC4"
"fanconi_anemia" "RAD54B"
"fanconi_anemia" "RPA4"
"fanconi_anemia" "MRE11A"
"fanconi_anemia" "NBN"
"fanconi_anemia" "POLD1"
"fanconi_anemia" "POLD2"
"fanconi_anemia" "POLD4"
"fanconi_anemia" "RAD51"
"fanconi_anemia" "RAD51C"
"fanconi_anemia" "RAD51L1"
"fanconi_anemia" "RAD51L3"
"fanconi_anemia" "RAD52"
"fanconi_anemia" "RBBP8"
"fanconi_anemia" "RPA1"
"fanconi_anemia" "RPA2"
"fanconi_anemia" "RPA3"
"fanconi_anemia" "BLM"
"fanconi_anemia" "BRCA1"
"fanconi_anemia" "SSBP1"
"fanconi_anemia" "BRCA2"
"fanconi_anemia" "TOP3A"
"fanconi_anemia" "UBE2N"
"fanconi_anemia" "XRCC2"
"fanconi_anemia" "XRCC3"
"fanconi_anemia" "SHFM1"
"fanconi_anemia" "MUS81"
"fanconi_anemia" "RAD54L"
"fanconi_anemia" "TOP3B"
"homologous_recomb" "POLD3"
"homologous_recomb" "MLH3"
"homologous_recomb" "MSH6"
"homologous_recomb" "RPA4"
"homologous_recomb" "LIG1"
"homologous_recomb" "MLH1"
"homologous_recomb" "MSH2"
"homologous_recomb" "MSH3"
"homologous_recomb" "MSH4"
"homologous_recomb" "MSH5"
"homologous_recomb" "PCNA"
"homologous_recomb" "PMS1"
"homologous_recomb" "PMS2L4"
"homologous_recomb" "PMS2L3"
"homologous_recomb" "PMS2"
"homologous_recomb" "POLD1"
"homologous_recomb" "POLD2"
"homologous_recomb" "PRKCG"
"homologous_recomb" "POLD4"
"homologous_recomb" "RFC1"
"homologous_recomb" "RFC2"
"homologous_recomb" "RFC3"
"homologous_recomb" "RFC4"
"homologous_recomb" "RFC5"
"homologous_recomb" "RPA1"
"homologous_recomb" "RPA2"
"homologous_recomb" "RPA3"
"homologous_recomb" "EXO1"
"hr_repair" "RAD50"
"hr_repair" "H2AFX"
"hr_repair" "MRE11A"
"hr_repair" "NBN"
"hr_repair" "ATM"
"hr_repair" "RAD52"
"hr_repair" "RPA1"
"hr_repair" "RPA2"
"hr_repair" "RPA3"
"hr_repair" "BRCA1"
"hr_repair" "TP53BP1"
"hr_repair" "MDC1"
"mismatch_repair" "CDK7"
"mismatch_repair" "CETN2"
"mismatch_repair" "POLD3"
"mismatch_repair" "ERCC8"
"mismatch_repair" "DDB1"
"mismatch_repair" "DDB2"
"mismatch_repair" "ERCC1"
"mismatch_repair" "ERCC2"
"mismatch_repair" "ERCC3"
"mismatch_repair" "ERCC4"
"mismatch_repair" "ERCC5"
"mismatch_repair" "ERCC6"
"mismatch_repair" "POLL"
"mismatch_repair" "GTF2H1"
"mismatch_repair" "GTF2H2"
"mismatch_repair" "GTF2H3"
"mismatch_repair" "GTF2H4"
"mismatch_repair" "RPA4"
"mismatch_repair" "LIG1"
"mismatch_repair" "LIG4"
"mismatch_repair" "GTF2H5"
"mismatch_repair" "MNAT1"
"mismatch_repair" "NTHL1"
"mismatch_repair" "PCNA"
"mismatch_repair" "POLE3"
"mismatch_repair" "POLD1"
"mismatch_repair" "POLD2"
"mismatch_repair" "POLE"
"mismatch_repair" "POLE2"
"mismatch_repair" "POLE4"
"mismatch_repair" "XAB2"
"mismatch_repair" "POLD4"
"mismatch_repair" "RAD23A"
"mismatch_repair" "RAD23B"
"mismatch_repair" "RFC1"
"mismatch_repair" "RFC2"
"mismatch_repair" "RFC3"
"mismatch_repair" "RFC4"
"mismatch_repair" "RFC5"
"mismatch_repair" "RPA1"
"mismatch_repair" "RPA2"
"mismatch_repair" "RPA3"
"mismatch_repair" "MMS19"
"mismatch_repair" "BRCA2"
"mismatch_repair" "TP53"
"mismatch_repair" "XPA"
"mismatch_repair" "XPC"
"mismatch_repair" "CUL4B"
"mismatch_repair" "CUL4A"
"mismatch_repair" "CCNH"
"mismatch_repair" "RBX1"
"non_homologous" "RAD50"
"non_homologous" "XRCC6"
"non_homologous" "H2AFX"
"non_homologous" "LIG1"
"non_homologous" "LIG4"
"non_homologous" "MRE11A"
"non_homologous" "NBN"
"non_homologous" "ATM"
"non_homologous" "TDP1"
"non_homologous" "PRKDC"
"non_homologous" "RAD51"
"non_homologous" "RAD52"
"non_homologous" "RPA1"
"non_homologous" "RPA2"
"non_homologous" "RPA3"
"non_homologous" "BRCA1"
"non_homologous" "BRCA2"
"non_homologous" "TP53BP1"
"non_homologous" "XRCC4"
"non_homologous" "XRCC5"
"non_homologous" "BRIP1"
"non_homologous" "MDC1"
"nucleotide_exc" "RAD50"
"nucleotide_exc" "DNTT"
"nucleotide_exc" "FEN1"
"nucleotide_exc" "XRCC6"
"nucleotide_exc" "POLL"
"nucleotide_exc" "POLM"
"nucleotide_exc" "LIG4"
"nucleotide_exc" "MRE11A"
"nucleotide_exc" "POLA1"
"nucleotide_exc" "PRKDC"
"nucleotide_exc" "DCLRE1C"
"nucleotide_exc" "XRCC4"
"nucleotide_exc" "XRCC5"
"nucleotide_exc" "NHEJ1"
"processing_dna_dsb" "TANK"
"processing_dna_dsb" "LTA"
"processing_dna_dsb" "MAP3K1"
"processing_dna_dsb" "TNFAIP3"
"processing_dna_dsb" "TNFRSF1B"
"processing_dna_dsb" "TRAF1"
"processing_dna_dsb" "TRAF2"
"processing_dna_dsb" "TRAF3"
"processing_dna_dsb" "RIPK1"
"processing_dna_dsb" "MAP3K14"
"cc_checkpoints" "CDK2"
"cc_checkpoints" "PSME3"
"cc_checkpoints" "PSMD14"
"cc_checkpoints" "CDKN1A"
"cc_checkpoints" "CDKN1B"
"cc_checkpoints" "ANAPC10"
"cc_checkpoints" "DBF4"
"cc_checkpoints" "UBE2C"
"cc_checkpoints" "CHEK1"
"cc_checkpoints" "CHEK2"
"cc_checkpoints" "PSMB11"
"cc_checkpoints" "PSMA8"
"cc_checkpoints" "RAD9B"
"cc_checkpoints" "PSME4"
"cc_checkpoints" "ORC6L"
"cc_checkpoints" "ORC3L"
"cc_checkpoints" "CDC26"
"cc_checkpoints" "ANAPC2"
"cc_checkpoints" "ANAPC4"
"cc_checkpoints" "HUS1"
"cc_checkpoints" "MAD2L1"
"cc_checkpoints" "MCM2"
"cc_checkpoints" "MCM3"
"cc_checkpoints" "MCM4"
"cc_checkpoints" "MCM5"
"cc_checkpoints" "MCM6"
"cc_checkpoints" "MCM7"
"cc_checkpoints" "MDM2"
"cc_checkpoints" "ATM"
"cc_checkpoints" "ORC1L"
"cc_checkpoints" "ORC2L"
"cc_checkpoints" "ORC4L"
"cc_checkpoints" "ORC5L"
"cc_checkpoints" "ANAPC5"
"cc_checkpoints" "ANAPC7"
"cc_checkpoints" "ANAPC11"
"cc_checkpoints" "ATR"
"cc_checkpoints" "MCM10"
"cc_checkpoints" "PSMA1"
"cc_checkpoints" "PSMA2"
"cc_checkpoints" "PSMA3"
"cc_checkpoints" "PSMA4"
"cc_checkpoints" "PSMA5"
"cc_checkpoints" "PSMA6"
"cc_checkpoints" "PSMA7"
"cc_checkpoints" "PSMB1"
"cc_checkpoints" "PSMB2"
"cc_checkpoints" "PSMB3"
"cc_checkpoints" "PSMB4"
"cc_checkpoints" "PSMB5"
"cc_checkpoints" "PSMB6"
"cc_checkpoints" "PSMB7"
"cc_checkpoints" "PSMB8"
"cc_checkpoints" "PSMB9"
"cc_checkpoints" "PSMB10"
"cc_checkpoints" "PSMC1"
"cc_checkpoints" "PSMC2"
"cc_checkpoints" "PSMC3"
"cc_checkpoints" "PSMC4"
"cc_checkpoints" "PSMC5"
"cc_checkpoints" "PSMC6"
"cc_checkpoints" "PSMD1"
"cc_checkpoints" "PSMD2"
"cc_checkpoints" "PSMD3"
"cc_checkpoints" "PSMD4"
"cc_checkpoints" "PSMD5"
"cc_checkpoints" "PSMD7"
"cc_checkpoints" "PSMD8"
"cc_checkpoints" "PSMD9"
"cc_checkpoints" "PSMD10"
"cc_checkpoints" "PSMD11"
"cc_checkpoints" "PSMD12"
"cc_checkpoints" "PSMD13"
"cc_checkpoints" "PSME1"
"cc_checkpoints" "PSME2"
"cc_checkpoints" "RAD1"
"cc_checkpoints" "RAD9A"
"cc_checkpoints" "RAD17"
"cc_checkpoints" "RFC2"
"cc_checkpoints" "RFC3"
"cc_checkpoints" "RFC4"
"cc_checkpoints" "RFC5"
"cc_checkpoints" "RPA1"
"cc_checkpoints" "RPA2"
"cc_checkpoints" "RPA3"
"cc_checkpoints" "RPS27A"
"cc_checkpoints" "CLSPN"
"cc_checkpoints" "RFWD2"
"cc_checkpoints" "ANAPC1"
"cc_checkpoints" "BUB1B"
"cc_checkpoints" "TP53"
"cc_checkpoints" "UBA52"
"cc_checkpoints" "UBB"
"cc_checkpoints" "UBC"
"cc_checkpoints" "UBE2D1"
"cc_checkpoints" "UBE2E1"
"cc_checkpoints" "WEE1"
"cc_checkpoints" "CDC7"
"cc_checkpoints" "CDC45L"
"cc_checkpoints" "MAD1L1"
"cc_checkpoints" "ATRIP"
"cc_checkpoints" "MCM8"
"cc_checkpoints" "CDC23"
"cc_checkpoints" "CDC16"
"cc_checkpoints" "CCNB1"
"cc_checkpoints" "CCNE1"
"cc_checkpoints" "CCNB2"
"cc_checkpoints" "CCNE2"
"cc_checkpoints" "BUB3"
"cc_checkpoints" "PSMF1"
"cc_checkpoints" "CDC2"
"cc_checkpoints" "PSMD6"
"cc_checkpoints" "CDC6"
"cc_checkpoints" "CDC20"
"cc_checkpoints" "CDC25A"
"cc_checkpoints" "CDC25C"
"cc_checkpoints" "CDC27"
